row	cipher_position	symbol	literal	grade	basis
P1.L22	6	31	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L22	7	n	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L22	8	c	r	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L22	9	11	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L22	10	z	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L22	11	25	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L22	12	y	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L22	13	11	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L22	14	24	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L22	15	g	p	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L22	16	26	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L22	17	15	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L22	18	35	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L22	19	31	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L22	20	23	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L22	21	34	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L22	22	15	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L23	1	7	c	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L23	2	l	o	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L23	3	22	n	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L23	4	38	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L23	5	m	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L23	6	32	n	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L23	7	15	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L23	8	34	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L23	9	37	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L23	10	35	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L23	11	6	e	M	Disputed source glyph; literal value retained, see READING-1635.md
P1.L23	12	g	p	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L23	13	c	r	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L23	14	11	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L23	15	22	n	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L23	16	32	n	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L23	17	7	c	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L23	18	15	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L23	19	20	p	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L23	20	24	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L23	21	25	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L24	1	m	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L24	2	19	l	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L24	3	p	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L24	4	x	c	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L24	5	37	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L24	6	f	o	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L24	7	i	r	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L24	8	15	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L24	9	26	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L24	10	x	c	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L24	11	y	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L24	12	15	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L24	13	10	h	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L24	14	7	c	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L24	15	34	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L24	16	m	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L24	17	22	n	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L24	18	38	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L24	19	31	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L24	20	p	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L24	21	39	x	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L25	1	z	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L25	2	m	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L25	3	c	r	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L25	4	t	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L25	5	q	r	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L25	6	12	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L25	7	l	o	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L25	8	9	b	M	Disputed source glyph; literal value retained, see READING-1635.md
P1.L25	9	q	r	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L25	10	f	o	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L25	11	y	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L25	12	12	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L25	13	26	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L25	14	35	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L25	15	e	m	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L25	16	5	f	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L25	17	38	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L25	18	15	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L25	19	34	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L26	1	25	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L26	2	38	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L26	3	26	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L26	4	37	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L26	5	p	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L26	6	22	n	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L26	7	34	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L26	8	t	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L26	9	37	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L26	10	11	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L26	11	f	o	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L26	12	32	n	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.L26	13	6	e	M	Disputed source glyph; literal value retained, see READING-1635.md
P1.L26	14	d	m	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L02	1	6	e	M	Disputed source glyph; literal value retained, see READING-1635.md
P2.L02	2	12	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L02	3	19	l	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L02	4	11	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L02	5	34	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L02	6	24	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L02	7	x	c	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L02	8	n	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L02	9	m	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L02	10	26	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L02	11	z	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L02	12	c	r	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L02	13	p	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L02	14	l	o	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L02	15	15	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L02	16	22	n	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L02	17	3	d	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L02	18	12	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L02	19	7	c	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L02	20	37	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L02	21	11	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L02	22	25	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L03	1	18	l	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L03	2	f	o	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L03	3	x	c	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L03	4	24	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L03	5	31	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L03	6	4	d	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L03	7	15	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L03	8	5	f	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L03	9	2	f	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L03	10	12	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L03	11	7	c	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L03	12	y	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L03	13	19	l	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L03	14	34	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L03	15	m	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L03	16	q	r	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L03	17	i	r	M	Disputed source glyph; literal value retained, see READING-1635.md
P2.L03	18	u		M	Unmapped source sign
P2.L03	19	9	b	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L03	20	p	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L03	21	q	r	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L03	22	32	n	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L03	23	z	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L03	24	7	c	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L03	25	f	o	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L03	26	22	n	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L04	1	x	c	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L04	2	6	e	M	Disputed source glyph; literal value retained, see READING-1635.md
P2.L04	3	3	d	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L04	4	15	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L04	5	20	p	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L04	6	f	o	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L04	7	31	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L04	8	26	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L04	9	12	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L04	10	22	n	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P2.L04	11	37	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
